item-id	version1	version2	category	type	levenshtein	char-delta	char-delta-abs	capitalization	whitespace	punctuation	hyphenation	numbers	abbreviation	cond-major	cond-minor	exp-major	exp-minor	insertion	deletion	combination	cat=copyedit	cat=tbc	type-tbc
00085-2	days	days,	copyedit	punctuation-only	1	-1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
00085-3	punishment	punishment,	copyedit	punctuation-only	1	-1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
00085-4	get	have gotten	tbc	expansion-major	9	-8	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
00085-5	here.	there.	tbc	expansion-minor	1	-1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
00091-1	in to	into	copyedit	whitespace-only	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00091-2	end first.	end-first.	copyedit	hyphenation-only	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
00092-1	butter	butter,	copyedit	punctuation-only	1	-1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
00093-1	suddenly		tbc	deletion-major	8	8	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
00097-1	face down,	facedown,	copyedit	whitespace-only	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00099-1	then		tbc	deletion-minor	4	4	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
00099-2	got	had been	tbc	expansion-major	8	-5	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
00102-1	face down,	facedown,	copyedit	whitespace-only	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00105-1	only		tbc	deletion-minor	4	4	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
00107-1	the blood	it	tbc	condensation-major	9	7	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
00109-1	Seeing	Sensing	tbc	expansion-minor	2	-1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
00110-1	the	to	tbc	condensation-minor	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
00114-1	we had	I have	tbc	tbc	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
00114-2	Oxygenator,	oxygenator,	copyedit	capitalization-only	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00114-3	could break CO2	breaks	copyedit	numbers-involved	10	9	9	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00114-4	and	CO2 to	copyedit	numbers-involved	6	-3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00115-1	spacesuits had	space suits have	tbc	expansion-minor	3	-2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
00115-2	used	use	tbc	condensation-minor	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
00117-1	in to	into	copyedit	whitespace-only	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00117-2	"""bloodletting""."	"""bloodletting."""	copyedit	punctuation-only	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
00118-1	back-filled	backfilled	copyedit	hyphenation-only	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
00128-1	I	I'd	tbc	expansion-minor	2	-2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
00131-1	end,	end	copyedit	punctuation-only	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
00134-1	valve	valve,	copyedit	punctuation-only	1	-1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
00136-1	wound	Wound	copyedit	capitalization-only	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00140-1	%	percent	copyedit	abreviation-only	7	-6	6	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
00141-1	%.	percent.	copyedit	abreviation-only	7	-6	6	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
00142-1	ok,	okay,	copyedit	combination	2	-2	2	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
00144-1	in-tact	intact	copyedit	hyphenation-only	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
00146-1	moment I	moment-1	copyedit	numbers-involved	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00148-1	in to	into	copyedit	whitespace-only	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00150-1	Entering	Once inside	tbc	expansion-major	7	-3	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
00153-1	9 stitches	nine stitches,	copyedit	numbers-involved	5	-4	4	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00155-1	communication	communications	tbc	expansion-minor	1	-1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
00159-1	communication	communications	tbc	expansion-minor	1	-1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
00163-1	24	twenty-four	copyedit	numbers-involved	11	-9	9	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00164-1	wait for no reason just to make the trip take longer?	wait?	tbc	condensation-major	48	48	48	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
00165-1	biomonitor	bio-monitor	copyedit	hyphenation-only	1	-1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
00166-1	others	other's	copyedit	punctuation-only	1	-1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
00167-1	0,	zero,	copyedit	numbers-involved	4	-3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00167-2	biosigns	bio-signs	copyedit	hyphenation-only	1	-1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
00168-1	I was sent tumbling	watching me tumble	tbc	condensation-major	13	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
00171-1	were	are	tbc	condensation-minor	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
00172-1	died	dies	tbc	tbc	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
00172-2	stayed	stays	tbc	condensation-minor	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
00173-1	reduced	reduces	tbc	tbc	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
00174-1	meant	means	tbc	tbc	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
00180-1	31	thirty-one	copyedit	numbers-involved	10	-8	8	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00181-1	Oxygenator	oxygenator	copyedit	capitalization-only	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00181-2	Ell	I'll	tbc	expansion-minor	2	-1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
00182-1	Water Reclaimer	water reclaimer	copyedit	capitalization-only	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00184-1	Ell	I'll	tbc	expansion-minor	2	-1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
00186-1	Em	I'm	tbc	expansion-minor	2	-1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
00187-1	Chapter	CHAPTER	copyedit	capitalization-only	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00189-1	Ok,	Okay,	copyedit	abreviation-only	2	-2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
00190-1	supplies,	supplies	copyedit	punctuation-only	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
00192-1	31	thirty-one	copyedit	numbers-involved	10	-8	8	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00193-1	56	fifty-six	copyedit	numbers-involved	9	-7	7	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00194-1	one or	one,or	copyedit	combination	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0
00195-1	50	fifty	copyedit	numbers-involved	5	-3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00196-1	300	three hundred	copyedit	numbers-involved	13	-10	10	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00199-1		I'm pretty flush on EVA suits, too.	tbc	insertion-major	35	-35	35	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
00200-1		Each crew member had two space suits: a flight spacesuit to wear during descent and ascent, and the much bulkier and more robust EVA suit to wear when doing surface operations.	tbc	insertion-major	176	-176	176	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
00201-1		My flight spacesuit has a hole in it, and of course the crew was wearing the other five when they returned to Hermes.	tbc	insertion-major	117	-117	117	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
00202-1		But all six EVA suits are still here and in perfect condition.	tbc	insertion-major	62	-62	62	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
00205-1	dish; it	dish. It	copyedit	combination	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0
00208-1	there.	here.	tbc	condensation-minor	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
00213-1	exposed	exposed,	copyedit	punctuation-only	1	-1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
00213-2	it	ft	tbc	tbc	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
00219-1	in-tact.	intact.	copyedit	hyphenation-only	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
00221-1	if	when	tbc	expansion-minor	4	-2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
00224-1	4	four	copyedit	numbers-involved	4	-3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00227-1	it		tbc	deletion-minor	2	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
00228-1	them	the cells	tbc	expansion-major	6	-5	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
00230-1	200	Two hundred	copyedit	numbers-involved	11	-8	8	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00233-1	Oxygenator.	oxygenator.	copyedit	capitalization-only	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00236-1	there is	there's	tbc	condensation-minor	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
00239-1	spacesuits	space suits	copyedit	whitespace-only	1	-1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00240-1	5	five	copyedit	numbers-involved	4	-3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00240-2	30	thirty	copyedit	numbers-involved	6	-4	4	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00242-1	Water Reclaimer	water reclaimer	copyedit	capitalization-only	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00248-1	Water Reclaimer.	water reclaimer.	copyedit	capitalization-only	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00252-1	3/4	three-fourths	copyedit	numbers-involved	13	-10	10	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00253-1	300	three hundred	copyedit	numbers-involved	13	-10	10	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00253-2	in to 400.	into four hundred.	copyedit	numbers-involved	12	-8	8	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00259-1	death,	death.	copyedit	punctuation-only	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
00261-1	out.		tbc	deletion-minor	4	4	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
00262-1	Everyone	"out."""	tbc	condensation-major	8	3	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
00263-1		.Everyone	tbc	insertion-major	9	-9	9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
00264-1	engineer.		tbc	deletion-major	9	9	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
00265-1	Basically, I was	engineer; basically,	tbc	expansion-major	17	-4	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
00268-1	not completely	not,completely	copyedit	combination	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0
00270-1	Crater,	crater,	copyedit	capitalization-only	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00270-2	3,200 km	3200 kilometers	copyedit	numbers-involved	9	-7	7	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00270-3	the		tbc	deletion-minor	3	3	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
00276-1	4	four	copyedit	numbers-involved	4	-3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00277-1	4	four	copyedit	numbers-involved	4	-3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00277-2	1	one	copyedit	numbers-involved	3	-2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00279-1	"""Fix"	Fix	copyedit	punctuation-only	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
00279-2	"radio""."	radio.	copyedit	punctuation-only	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
00281-1	communication	communications	tbc	expansion-minor	1	-1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
00282-1	wandering	wandering,	copyedit	punctuation-only	1	-1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
00285-1	communication	communications	tbc	expansion-minor	1	-1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
00294-1	4-hour	four-hour	copyedit	numbers-involved	4	-3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00294-2	crewmember	crew member	copyedit	whitespace-only	1	-1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00295-1	small	small,	copyedit	punctuation-only	1	-1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
00296-1	hours	hours'	copyedit	punctuation-only	1	-1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
00298-1	1500	Fifteen hundred	copyedit	numbers-involved	15	-11	11	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00298-2	4	four	copyedit	numbers-involved	4	-3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00304-1	here.	there.	tbc	expansion-minor	1	-1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
00307-1	Earth-atmosphere	Earth atmosphere	copyedit	hyphenation-only	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
00310-1	or	and	tbc	expansion-minor	3	-1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
00313-1	planter-box,	box,	tbc	condensation-major	8	8	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
00314-1	earth,	Earth,	copyedit	capitalization-only	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00324-1	7	seven	copyedit	numbers-involved	5	-4	4	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00329-1	"hippies!"" I would scoff."		tbc	deletion-major	24	24	24	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
00330-1	"""Look"	hippies!	tbc	expansion-major	8	-3	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
00331-1		Look	tbc	insertion-minor	4	-4	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
00331-2	"back yard."""	"backyard."""	copyedit	whitespace-only	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00332-1	course	course,	copyedit	punctuation-only	1	-1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
00338-1	any more!	anymore!	copyedit	whitespace-only	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00341-1	Of	of	copyedit	capitalization-only	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00342-1	filled it with	put	tbc	condensation-major	13	11	11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
00342-2	water,	water in it,	tbc	expansion-major	6	-6	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
00344-1	more successful	better	tbc	condensation-major	13	9	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
00350-1	infection..	infection.	copyedit	punctuation-only	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
00351-1		People have been using human waste as fertilizer for centuries.	tbc	insertion-major	63	-63	63	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
00352-1		"It's even got a pleasant name: ""night soil."""	tbc	insertion-major	44	-44	44	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
00353-1		Normally, it's not an ideal way to grow crops, because it spreads disease: Human waste has pathogens in it that, you guessed it, infect humans.	tbc	insertion-major	143	-143	143	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
00354-1		But it's not a problem for me.	tbc	insertion-major	30	-30	30	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
00355-1		The only pathogens in this waste are the ones I already have.	tbc	insertion-major	61	-61	61	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
00358-1		bring in more lifeless soil from outside and	tbc	insertion-major	44	-44	44	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
00358-2	it out	some of the live soil	tbc	expansion-major	18	-15	15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
00358-3	a doubled area.	it.	tbc	condensation-major	14	12	12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
00359-1	Martian soil.	soil and I'll have double what I started with.	tbc	expansion-major	40	-33	33	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
00371-1	*any*	any	copyedit	combination	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
00373-1	floor-space	floor space	copyedit	hyphenation-only	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
00376-1	cm.	centimeters.	copyedit	abreviation-only	9	-9	9	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
00377-1	in to	into	copyedit	whitespace-only	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00378-1	1/10th	one-tenth	copyedit	numbers-involved	7	-3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00379-1	But	But'	copyedit	punctuation-only	1	-1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
00379-2	croppable	crop-able	tbc	tbc	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
00385-1	12	twelve	copyedit	numbers-involved	6	-4	4	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00385-2	in to	into	copyedit	whitespace-only	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00386-1	5	five	copyedit	numbers-involved	4	-3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00391-1	10	ten	copyedit	numbers-involved	3	-1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00396-1	10	ten	copyedit	numbers-involved	3	-1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00401-1	3/4	three-fourths	copyedit	numbers-involved	13	-10	10	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00403-1	though	thought	tbc	expansion-minor	1	-1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
00403-2	Water.	water.	copyedit	capitalization-only	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00406-1	it	the dirt	tbc	expansion-major	6	-6	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
00412-1	Water Reclaimer.	water reclaimer.	copyedit	capitalization-only	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
00414-1	"figured ""why"	"figured, ""Why"	copyedit	combination	2	-1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0
00416-1	3	three	copyedit	numbers-involved	5	-4	4	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00417-1	each. There are	each, making	tbc	condensation-major	10	3	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
00418-1	Looks like I won't be able to cover the whole surface of the Hab with fertile soil.		tbc	deletion-major	83	83	83	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
00420-1	cm.	centimeters.	copyedit	abreviation-only	9	-9	9	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
00421-1	2/3	two-thirds	copyedit	numbers-involved	10	-7	7	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00423-1	Anyway, I've only got a paltry 5 square meters covered at	That's	copyedit	numbers-involved	54	51	51	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00423-2	moment.		tbc	deletion-major	7	7	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
00424-1	After that, things got disgusting.		tbc	deletion-major	34	34	34	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
00425-1	I spent three hours spreading shit on Martian sand.		tbc	deletion-major	51	51	51	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
00426-1	I didn't have to do it with	longterm plan.	tbc	condensation-major	23	13	13	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
00427-1		For today,	tbc	insertion-major	10	-10	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
00427-2	hands, at least.		tbc	deletion-major	16	16	16	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
00428-1	I spread the sand out in a comer of the Hab, about 10 cm thick.	goal was five square meters.	copyedit	numbers-involved	51	35	35	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
00429-1	a few		tbc	deletion-minor	5	5	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
00429-2	crewmates	crew-mates	copyedit	hyphenation-only	1	-1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
00429-3	(with	with	copyedit	punctuation-only	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
00429-4	perimeter).	perimeter.	copyedit	punctuation-only	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
00430-1		It was as close to five square meters as I could manage.	tbc	insertion-major	56	-56	56	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
